,Days,Optimum_harvest_targ,Gain_%
0,30,100,21.55
1,32,250,25.42
2,34,250,25.42
3,36,250,25.42
4,38,150,30.74
5,40,100,32.51
6,42,100,32.51
7,44,350,35.26
8,46,350,35.26
9,48,200,41.25
10,50,100,43.38
11,52,150,45.75
12,54,150,45.75
13,56,150,45.75
14,58,250,51.13
15,60,100,53.96
16,62,100,53.96
17,64,100,53.96
18,66,150,61.29
19,68,200,62.1
20,70,100,64.06
21,72,100,64.06
22,74,100,64.06
23,76,100,64.06
24,78,100,74.82
25,80,150,77.16
26,82,150,77.16
27,84,200,83.37
28,86,100,84.86
29,88,100,84.86
30,90,100,84.86
31,92,150,93.14
32,94,100,95.47
33,96,100,95.47
34,98,100,95.47
35,100,200,104.42
36,102,150,108.98
37,104,150,108.98
38,106,150,108.98
39,108,150,108.98
40,110,100,116.86
41,112,200,124.53
42,114,200,124.53
43,116,250,128.31
44,118,250,128.31
45,120,250,128.31
46,122,150,140.96
47,124,200,144.78
48,126,200,144.78
49,128,200,144.78
50,130,250,154.52
51,132,150,156.77
52,134,150,156.77
53,136,200,164.86
54,138,200,164.86
55,140,150,173.61
56,142,150,173.61
57,144,250,179.57
58,146,200,186.57
59,148,150,189.32
60,150,150,189.32
61,152,150,189.32
62,154,100,194.14
63,156,200,207.72
64,158,200,207.72
65,160,200,207.72
66,162,300,216.06
67,164,150,220.98
68,166,200,227.91
69,168,250,232.27
70,170,150,236.77
71,172,150,236.77
72,174,200,249.42
73,176,200,249.42
74,178,250,259.52
75,180,250,259.52
76,182,200,269.48
77,184,150,270.72
78,186,300,278.47
79,188,250,286.05
80,190,200,290.69
81,192,200,290.69
82,194,200,290.69
83,196,150,301.75
84,198,200,313.11
85,200,200,313.11
86,202,150,318.22
87,204,350,324.26
88,206,250,338.36
89,208,300,339.72
90,210,300,339.72
91,212,200,354.76
92,214,250,363.53
93,216,250,363.53
94,218,300,372.18
95,220,200,377.14
96,222,250,390.13
97,224,250,390.13
98,226,300,403.15
99,228,300,403.15
100,230,250,418.27
101,232,200,421.14
102,234,200,421.14
103,236,350,437.39
104,238,250,443.76
105,240,250,443.76
106,242,400,455.24
107,244,250,470.52
108,246,350,472.64
109,248,350,472.64
110,250,200,487.9
111,252,300,499.48
112,254,350,510.21
113,256,200,512.0
114,258,250,528.04
115,260,300,533.89
116,262,350,545.23
117,264,250,553.79
118,266,300,565.07
119,268,300,565.07
120,270,350,582.27
121,272,350,582.27
122,274,300,597.79
123,276,250,608.5
124,278,350,621.43
125,280,300,632.13
126,282,250,637.55
127,284,250,637.55
128,286,300,662.14
129,288,400,668.7
130,290,400,668.7
131,292,350,694.17
132,294,350,694.17
133,296,400,712.82
134,298,300,725.92
135,300,350,733.24
136,302,350,733.24
137,304,300,759.78
138,306,350,774.24
139,308,350,774.24
140,310,300,795.03
141,312,350,810.08
142,314,350,810.08
143,316,300,831.73
144,318,350,847.39
145,320,350,847.39
146,322,300,862.29
147,324,350,886.24
148,326,300,893.85
149,328,250,893.96
150,330,350,926.67
151,332,400,933.38
152,334,450,941.39
153,336,350,968.77
154,338,400,975.75
155,340,450,992.63
156,342,350,1003.82
157,344,400,1019.85
158,346,350,1040.03
159,348,450,1046.39
160,350,400,1065.77
161,352,350,1077.42
162,354,450,1093.39
163,356,350,1116.04
164,358,350,1116.04
